0,087;0,067
0,239;0,709
0,786;0,273
0,176;0,734
0,425;0,35
0,972;0,063
0,409;0,872
0,947;0,864
0,639;0,682
0,98;0,636
0,096;0,495
0,515;0,165
0,044;0,72
0,992;0,309
0,596;0,564
0,909;0,995
0,612;0,503
0,381;0,09
0,249;0,414
0,393;0,65
0,223;0,287
0,853;0,942
0,57;0,801
0,197;0,807
0,57;0,428
0,299;0,985
0,256;0,454
0,662;0,555
0,237;0,964
0,749;0,781
0,588;0,357
0,25;0,891
0,211;0,902
0,426;0,811
0,266;0,206
0,507;0,382
0,426;0,291
0,235;0,145
0,999;0,92
0,797;0,839
0,269;0,677
0,944;0,843
0,326;0,432
0,18;0,64
0,38;0,538
0,293;0,559
0,139;0,432
0,709;0,503
0,683;0,966
0,186;0,653
0,364;0,162
0,137;0,968
0,404;0,982
0,284;0,679
0,663;0,999
0,182;0,306
0,438;0,042
0,277;0,378
0,604;0,771
0,996;0,167
0,251;0,959
0,929;0,209
0,282;0,268
0,657;0,336
0,11;0,873
0,749;0,682
0,637;0,735
0,715;0,118
0,88;0,431
0,333;0,061
0,561;0,635
0,416;0,852
0,446;0,524
0,534;0,906
0,021;0,181
0,327;0,117
0,12;0,273
0,358;0,884
0,423;0,13
0,44;0,513
0,531;0,078
0,239;0,809
0,007;0,153
0,173;0,214
0,292;0,961
0,562;0,845
0,074;0,133
0,574;0,559
0,709;0,75
0,187;0,969
0,643;0,063
0,107;0,174
0,061;0,242
0,653;0,347
0,253;0,227
0,264;0,193
0,792;0,516
0,746;0,124
0,797;0,833
0,715;0,238
0,811;0,439
0,808;0,331
0,074;0,035
0,618;0,353
0,635;0,151
0,734;0,368
0,355;0,809
0,803;0,693
0,71;0,096
0,163;0,626
0,379;0,943
0,14;0,232
0,604;0,483
0,154;0,917
0,433;0,082
0,821;0,38
0,846;0,379
0,504;0,15
0,428;0,311
0,884;0,991
0,616;0,913
0,042;0,788
0,992;0,812
0,523;0,346
0,028;0,432
0,089;0,548
0,871;0,957
0,134;0,427
0,254;0,911
0,575;0,713
0,208;0,963
0,458;0,22
0,742;0,979
0,377;0,113
0,964;0,803
0,622;0,366
0,765;0,781
0,362;0,85
0,454;0,536
0,25;0,552
0,834;0,704
0,07;0,281
0,44;0,642
0,531;0,327
0,03;0,019
0,63;0,064
0,462;0,223
0,55;0,96
0,436;0,28
0,774;0,457
0,176;0,782
0,886;0,853
0,477;0,697
0,647;0,142
0,388;0,69
0,278;0,72
0,25;0,029
0,618;0,654
0,779;0,696
0,295;0,83
0,829;0,902
0,324;0,063
0,146;0,172
0,827;0,552
0,894;0,269
0,298;0,52
0,644;0,225
0,722;0,79
0,733;0,694
0,772;0,913
0,287;0,452
0,025;0,462
0,071;0,194
0,851;0,675
0,326;0,608
0,612;0,015
0,079;0,618
0,01;0,149
0,303;0,716
0,574;0,728
0,673;0,617
0,898;0,6
0,345;0,535
0,25;0,97
0,036;0,218
0,192;0,683
0,534;0,554
0,232;0,32
0,956;0,666
0,696;0,173
0,792;0,93
0,881;0,738
0,474;0,911
0,092;0,757
0,087;0,93
0,355;0,044
0,949;0,611
0,029;0,324
0,371;0,095
0,616;0,129
0,772;0,617
0,097;0,711
0,131;0,274
0,664;0,344
0,247;0,685
0,031;0,551
0,072;0,055
0,086;0,127
0,888;0,446
0,412;0,758
0,704;0,613
0,508;0,667
0,798;0,92
0,983;0,041
0,001;0,562
0,201;0,374
0,131;0,837
0,442;0,515
0,615;0,443
0,734;0,14
0,912;0,387
0,088;0,815
0,131;0,143
0,386;0,333
0,169;0,025
0,095;0,474
0,55;0,809
0,875;0,712
0,723;0,357
0,761;0,327
0,283;0,873
0,619;0,57
0,9;0,839
0,348;0,989
0,453;0,604
0,797;0,645
0,968;0,553
0,036;0,215
0,46;0,302
0,881;0,628
0,047;0,14
0,688;0,467
0,648;0,419
0,484;0,335
0,638;0,035
0,154;0,368
0,416;0,497
0,478;0,472
0,386;0,659
0,319;0,436
0,935;0,56
0,944;0,161
0,521;0,383
0,235;0,657
0,931;0,114
0,97;0,783
0,522;0,712
0,076;0,446
0,27;0,277
0,152;0,047
0,345;0,36
0,744;0,763
0,099;0,543
0,305;0,534
0,334;0,711
0,659;0,466
0,376;0,979
0,673;0,46
0,017;0,331
0,918;0,353
0,456;0,704
0,233;0,782
0,527;0,486
0,355;0,522
0,568;0,153
0,765;0,505
0,956;0,407
0,269;0,305
0,871;0,314
0,077;0,026
0,726;0,152
0,858;0,547
0,02;0,016
0,608;0,874
0,725;0,137
0,458;0,658
0,088;0,71
0,912;0,963
0,178;0,404
0,692;0,415
0,587;0,041
0,524;0,325
0,166;0,311
0,091;0,718
0,463;0,863
0,08;0,196
0,417;0,891
0,764;0,475
0,459;0,937
0,218;0,701
0,611;0,514
0,159;0,149
0,228;0,222
0,638;0,31
